English Word,French Word,Frequency
prepare,préparer,39
hands,mains,234
desperate,désespéré,44
spoke,parlait,124
youth,jeunesse,215
without,sans pour autant,277
these,celles-ci,1064
quoth,quoth,61
drunk,ivre,48
music,la musique,107
would,aurait,2002
scorn,mépris,80
warrant,mandat,160
because,car,81
silence,silence,45
prison,prison,48
sister,sœur,127
fairy,Fée,39
grief,douleur,159
excellent,excellent,87
merchant,marchande,21
version,version,1
devise,concevoir,36
guess,devine,37
endure,supporter,64
drums,tambours,25
object,objet,32
shortly,prochainement,36
humble,humble,58
folly,folie,52
flight,vol,37
forest,forêt,54
vengeance,vengeance,40
throat,gorge,35
infinite,infini,35
least,moins,89
misery,misère,23
sleep,sommeil,164
minds,esprits,47
commission,commission,34
after,après,287
quiet,silencieux,57
close,proche,73
policy,politique,34
saint,Saint,14
learn,apprendre,75
weeping,larmes,41
blood,du sang,486
straight,tout droit,80
throw,jeter,86
speaks,parle,107
thank,remercier,275
sweet,sucré,622
faces,visages,29
yours,le tiens,137
undone,défait,28
violent,violent,38
forsooth,en vérité,23
sworn,juré,113
empty,vide,39
spring,printemps,42
deadly,mortel,44
ambition,ambition,33
leave,laisser,532
blush,rougir,38
besides,outre,48
weeds,mauvaises herbes,32
knave,fripon,113
morrow,demain,96
others,autres,120
laugh,rire,71
swift,rapide,62
faint,perdre connaissance,30
murder,meurtre,39
making,fabrication,50
minister,ministre,31
cruel,cruel,64
often,souvent,120
remedy,remède,23
cardinal,cardinal,5
consent,consentement,75
respect,le respect,82
strange,étrange,193
aside,de côté,42
success,Succès,28
authority,autorité,37
loose,ample,40
therefore,par conséquent,354
creature,créature,53
child,enfant,143
trust,confiance,142
private,privé,59
young,Jeune,381
companion,un compagnon,27
provided,à condition de,22
tribunes,tribunes,22
wisdom,sagesse,82
fatal,fatal,39
gates,portes,77
sorry,Pardon,84
happiness,bonheur,43
treasure,Trésor,42
mistake,erreur,27
embrace,embrasse,51
cheek,joue,56
victory,la victoire,20
praise,louange,145
cheer,acclamation,54
better,mieux,504
special,spécial,37
contempt,mépris,29
truth,vérité,240
service,un service,151
there,Là,1057
sweat,transpiration,30
betray,trahir,37
swear,jurer,207
college,Université,3
copyright,droits d'auteur,7
approach,approche,38
turns,se tourne,41
number,nombre,44
obedience,obéissance,34
fierce,féroce,35
struck,frappé,65
brave,courageux,141
judge,juge,58
darkness,obscurité,30
write,écrire,102
order,ordre,76
proceed,procéder,27
shape,forme,70
nothing,rien,420
understand,comprendre,87
distributed,distribué,1
birth,naissance,63
forth,en avant,283
wives,épouses,47
heaven,paradis,444
loving,aimant,112
unhappy,malheureux,27
silver,argent,51
mighty,puissant,105
despair,désespoir,27
weapons,armes,28
blessing,bénédiction,30
hundred,cent,109
other,autre,595
woman,femme,219
queen,reine,105
uncle,oncle,134
matter,matière,196
courage,courage,45
instant,instant,51
walls,des murs,68
native,originaire de,43
yield,rendement,116
noise,bruit,82
speak,parler,775
sacred,sacré,46
tender,soumissionner,130
question,question,104
bought,acheté,45
loves,aime,167
spirit,esprit,198
picture,image,27
sharp,tranchant,57
names,des noms,32
messenger,Messager,39
regard,qui concerne,34
wench,jeune fille,28
witch,sorcière,30
mirth,gaieté,35
royal,Royal,197
flies,mouches,43
tonight,ce soir,29
shake,secouer,83
almost,presque,138
displeasure,mécontentement,28
steward,intendant,15
chide,gronder,42
reign,règne,24
manner,manière,67
naked,nu,46
trial,procès,40
plead,plaider,37
brains,cerveaux,29
undertake,entreprendre,42
copies,copies,3
judgment,jugement,74
charity,charité,35
whether,qu'il s'agisse,55
raise,élever,41
quite,assez,65
tower,la tour,8
always,toujours,57
below,au dessous de,41
already,déjà,87
estate,biens,37
shall,doit,3070
crave,demander,40
pardon,pardon,172
kings,rois,66
touch,toucher,97
senator,sénateur,3
condition,état,42
ladyship,Madame,21
prayers,prières,66
shame,la honte,216
fruit,fruit,30
cause,cause,252
dreams,rêves,34
trick,tour,41
favour,favoriser,93
times,fois,183
wound,blessure,56
saying,en disant,42
render,rendre,39
wounded,blessés,28
abroad,à l'étranger,34
whence,d'où,57
chief,chef,28
blunt,cru,25
despite,malgré,40
burning,brûlant,39
doctor,docteur,20
conduct,conduite,42
until,jusqu'à,41
sport,sport,89
reason,raison,209
thought,pensée,328
farther,plus loin,30
maintain,maintenir,34
lieutenant,lieutenant,18
taste,goût,65
marry,marier,159
grieve,pleurer,37
wherein,où,65
liberty,liberté,40
gentle,doux,327
state,Etat,239
welcome,Bienvenue,188
dance,Danse,46
meeting,réunion,39
goodness,la bonté,44
cares,se soucie,29
deeds,actes,93
broke,cassé,76
remain,rester,46
night,nuit,427
courtesy,courtoisie,32
demand,demande,38
letter,lettre,145
offend,offenser,54
rotten,pourri,33
accuse,accuser,30
entertainment,divertissement,26
another,un autre,286
devil,diable,158
enemy,ennemi,103
giving,donnant,31
dread,crainte,42
prize,prix,36
worth,vaut,175
found,a trouvé,186
excuse,excuse,55
humour,humour,71
taken,pris,76
grace,la grâce,218
patience,la patience,98
knight,Chevalier,69
where,où,628
receive,recevoir,74
think,pense,902
triumph,triomphe,33
poison,poison,60
black,noir,134
mistress,maîtresse,146
watch,regarder,91
speech,discours,89
pluck,cueillir,86
thing,chose,287
fashion,mode,79
withal,avec,60
through,par,215
surely,sûrement,29
strength,force,102
attend,assister,90
castle,Château,21
tedious,fastidieux,37
dwell,habiter,34
apparel,vêtements,35
smell,odeur,43
exeunt,sortir,3
mother,mère,234
didst,didst,143
either,Soit,102
dying,en train de mourir,38
